@AlejandroSotoRe
Fecha,Texto,Comentarios,Retweets,Guardados,Likes
"Nov 22, 2022 · 3:35 PM UTC","Grupo de Alto Nivel de la #OEAenPerú continúa el diálogo con los sectores del país para conocer sobre la situación política en 🇵🇪. 

Los ministros de 🇧🇿🇨🇷🇪🇨🇬🇹🇵🇾 y viceministros de 🇦🇷 y 🇨🇴 se reunieron con miembros de la @BancadaAPP",25,20,1,44
"Nov 22, 2022 · 3:14 PM UTC",#BancadaAPP se reunió con el Grupo de Alto Nivel de la #OEAenPerú para hacerles conocer nuestra posición frente a la crisis política. Participaron @AlejandroSotoRe @LadyCamones y @salhuanacavides,3,8,,15
"Nov 19, 2022 · 2:42 AM UTC","Mis más sentidas condolencias a los familiares de Ángel Torres y Nicolás Santa Gadea, 2 valerosos bomberos que hoy perdieron la vida en el fatal accidente del aeropuerto Jorge Chávez. Mi mayor reconocimiento, gratitud y apoyo a nuestros héroes de rojo.",,,,6
"Nov 16, 2022 · 3:15 PM UTC","☝️ El congresista Alejandro Soto calificó de ""lamentable"" la presentación del procurador del Congreso, Yuri García, al defender los intereses del Parlamento ante el Tribunal Constitucional.
rpp.pe/politica/congreso/voc…",14,6,,14
"Nov 16, 2022 · 3:43 PM UTC","#Noticia | Alejandro Soto sobre el procurador del Congreso: ""Lo consideramos un topo"" willax.tv/alejandro-soto-sob…",7,6,5,48
"Nov 11, 2022 · 2:23 PM UTC","[11/11/22 08:19 a.m.] El vocero de Alianza para el Progreso expresó que dicha marcha “ha sido las tomas de las veredas en la avenida Abancay”
canaln.pe/actualidad/video-a…",4,5,,17
"Nov 4, 2022 · 2:51 PM UTC","[04/11/22 09:21 a.m.] El vocero de APP dijo que si “el presidente si está involucrado en estos hechos lo que hace es tratar de eliminar a quienes opinaban de manera distinta y a quienes defendemos a la patria”
canaln.pe/actualidad/video-a…",9,5,2,13
"Nov 3, 2022 · 11:10 PM UTC","🔴 #EnVivo: Alejandro Soto: ""El Congreso no es una mesa de partes del Ejecutivo. Es facultad autorizar o no la salida del presidente. En estas circunstancias, con seis carpetas fiscales y la llegada de la OEA, no es posible autorizar su salida""

📺 ► Movistar 10 - 710 HD",22,16,5,98
"Oct 26, 2022 · 4:39 PM UTC","¡INTERNET Y SEÑAL DE TELEFONÍA PARA TIRACANCHA!
 #SemanaDeRepresentación Seguimos recorriendo todo Cusco llevando internet gratuito a centros poblados donde el Estado no llega. Ellos merecen ¡Educación y salud de calidad! @congresoperu",1,2,2,12
"Oct 21, 2022 · 3:15 PM UTC","#CongresoInforma l El Pleno aprobó medida que desarrolla las alternativas del Parlamento sobre las observaciones del presidente de la República a las autógrafas de ley, para lo cual modifica el Reglamento del Congreso.

🗞️ cutt.ly/CB84BSK",2,2,,9
