@PedroCastilloTe
Fecha,Texto,Comentarios,Retweets,Guardados,Likes
"May 24, 2023 · 2:08 AM UTC",#Informativo14. La dirigente indígena peruana Lourdes Huanca demanda la restitución del presidente peruano destituido @PedroCastilloTe. Entrevista exclusiva con @canalcatorcemx,69,371,4,617
"May 24, 2023 · 2:55 PM UTC","Muy preocupados por la decisión del hermano presidente de Chile @GabrielBoric de apoyar al gobierno ilegal e ilegítimo de @DinaBoluarteZ para la presidencia protempore de la Alianza del Pacífico justo cuando se autoriza la intervención militar de EEUU en Perú. 

Parece que el hermano presidente de Chile olvida que Allende fue víctima del intervencionismo de la CIA. La presencia de las FFAA de EEUU en territorio peruano corresponde al plan injerencista del Comando Sur para usurpar los recursos naturales de la región, especialmente litio, oro y agua dulce. 

La autorización del ingreso de esas tropas, atenta contra la paz en Latinoamérica.","3,121","6,083",572,"13,374"
"May 23, 2023 · 2:08 PM UTC","Nuestra solidaridad con el hermano presidente de México @lopezobrador_ atacado por la derecha que gobierna Perú sometida a EEUU. Ser declarado ""persona no grata"" por un Congreso que justifica las masacres de su pueblo es como una medalla a su lucha por la vida y la democracia.","3,584","4,643",262,"9,920"
"May 19, 2023 · 4:35 PM UTC","El Relator Especial de la ONU sobre el Derecho a la Libertad de Reunión Pacífica condenó el racismo, discriminación y falsas acusaciones de terrorismo que usó el gobierno ilegítimo de #Perú para justificar el uso abusivo de la fuerza que derivó en masacres de nuestros hermanos

La denuncia del hermano Clément Nyaletsossi Voule que pide justicia para las víctimas y sanciones para los represores se suma al #InformePerú que también confirmó que FFAA y Policía causaron decenas de muertes de indígenas que defendían su democracia.

El derecho a la protesta no puede ser criminalizando. Ahora se comprende mejor porqué razón nos persiguen políticamente con juicios montados. Tratan de ocultar crímenes de lesa humanidad que ya son denunciados por organismos de Derechos Humanos.",194,429,14,691
"May 19, 2023 · 12:55 PM UTC","Cuando un presidente banquero como @LassoGuillermo procesado por corrupción cierra el Congreso, la derecha nacional e internacional lo justifica. Pero cuando un presidente maestro rural como @PedroCastilloTe hace lo mismo ante una conspiración, lo apresan y le dicen ""golpista"".

Esa es la doble moral del establecimiento político y mediático sometido a EEUU que miente al pueblo para satisfacer sus intereses. Así funciona la persecución a los líderes que luchan por los más humildes. Así justifican sus masacres y políticas económicas de hambre.","2,539","5,141",289,"9,220"
"May 17, 2023 · 8:53 PM UTC",Contamos minutos para que la hermana @DinaBoluarteZ condene a @LassoGuillermo por cerrar el congreso de Ecuador. ¿También lo llamará asesino golpista y pedirá que lo encarcelen como hace con el hermano @PedroCastilloTe?  La derecha pide respeto a la democracia cuando le conviene. nitter.net/i/web/status/165…,936,"3,161",113,"5,197"
"May 17, 2023 · 3:27 PM UTC","Para evitar un proceso por corrupción 
@LassoGuillermo cierra el Congreso de Ecuador con la excusa de “conmoción interna”. Hace 5 meses acusó de golpista al hermano @PedroCastilloTe que hizo lo mismo pero para frenar una conspiración. Doble moral de la derecha sometida al imperio.","2,004","3,394",178,"6,162"
"May 14, 2023 · 3:48 PM UTC","La visitas de políticos y funcionarios a la fiscal del Perú, donde se acaba de realizar un golpe de estado con ella como protagonista, las palabras de Andrés Pastrana pidiendo a sus socios expresidentes de derecha de América Latina que no apoyen al presidente Lasso en su defenestración por el congreso del Ecuador, porque eso mismo se hará contra presidentes de izquierda en otros países y las reuniones  para construir la conspiración llamada ""acero diluido"" muestran que no estamos ante las palabras de un loco, sino ante una realidad: los sectores politicos y empresariales untados hasta el cuello de dineros de la cocaína y la corrupción no quieren que el próximo fiscal ternado por el gobierno acabe la corrupción. El camino es derribar el gobierno. Alistan los dineros para la comisión de acusaciones, tratan de dividir el ejército, para ver si los soldados que arriegan sus vidas salvan los exoficiales retirados que se ligaron al narcotráfico y el genocidio.

El.ejército esta unido en la lucha contra las economías ilegalizadas y contra la corrpción, quiere la paz y la constitución. El pueblo está avisado. El empresariado sabe que tiene una senda de crecimiento sostenible dentro de la justicia social, el campesinado sabe que abrimos el camino de la reforma agraria en su favor, el pueblo trabajador sabe que vamos a mejorar sus condiciones laborales. Aquí no pasará lo del Perú. Aquí en Colombia vamos con paso decidido a la democracia, la justicia y la Paz.
 elpais.com/america-colombia/…","4,605","8,504",671,"18,421"
"May 15, 2023 · 4:36 PM UTC","AMLO se lanza contra Dina Boluarte, ""está usurpando ese cargo""

Luego de que la presidenta de Perú acusó a @lopezobrador_ de ser un dictador, el mandatario le pidió que ""le deje la presidencia a @PedroCastilloTe. Esta señora fue impuesta, tiene como 25% de aceptación"".",25,74,2,161
"May 15, 2023 · 5:31 PM UTC","#ConferenciaPresidente | “Le recordaría que le dejé la presidencia a @PedroCastilloTe, porque ella está usurpando ese cargo”, señaló #AMLO tras la acusación de la presidenta de Perú, Dina Boluarte luego de decir que el presidente mexicano es dictador.",9,43,2,90
"May 15, 2023 · 5:58 PM UTC","“Le recordaría que le deje la Presidencia al que ganó una elección libre y democrática, a @PedroCastilloTe, ella está usurpando ese cargo"", respondió el presidente @lopezobrador_ a Dina Boluarte, quien lo acusó tener aspiraciones de dictador_. politico.mx/sl/GvSb7",27,72,2,157
"May 15, 2023 · 12:25 PM UTC","Después de ordenar la represión armada contra su pueblo y pese al #InformePerú de la CIDH que demuestra que hubo masacre, ejecuciones extrajudiciales y graves violaciones de derechos humanos en Perú, @DinaBoluarteZ culpa al hermano presidente @PedroCastilloTe de esos crímenes 

La derecha peruana usa la mentira para conseguir impunidad. Pero el pueblo tiene memoria. Los huérfanos y familias de hermanos peruanos masacrados demandan justicia. Pueden acusar falsamente y armar juicios políticamente, pero nunca podrán ocultar la verdad ni su responsabilidad.",790,350,30,722
